film_id,title,year,genre,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,decade,primary_genre,arch_0_weight,arch_1_weight,arch_2_weight,arch_3_weight,arch_4_weight,arch_5_weight,dominant_archetype
tt1488589,Guillermo Del Toros Pinocchio,2022,Animation|Fantasy|Adventure|Drama,1.202016,0.514089,0.529555,-1.535132,-1.688738,-0.175545,-0.149568,0.519864,0.511214,-0.842754,-1.531977,-0.168531,-0.845787,-0.845509,1.205211,1.197007,-0.843129,0.548168,0.519428,1.880117,2020s,Animation,0.19272980340123022,0.0,0.3356170144884094,0.0,0.0,0.4716531821103603,5
tt8368408,Gunpowder Milkshake,2021,Action|Crime|Thriller,-1.058004,0.053134,-1.994697,-1.063886,-1.047862,0.066679,-0.139175,-0.24521,-0.083036,-0.172281,0.881065,0.956844,-0.12475,-0.977984,-0.95384,0.112632,1.752641,0.819636,1.466482,1.75161,2020s,Action,0.027730210978313453,0.09246860039395985,0.29744183664395807,0.0,0.36203606671782396,0.22032328526594472,4
tt0113243,Hackers,1995,Action|Crime|Thriller|Drama,0.054114,0.027677,0.06221,0.060283,-0.703264,-0.048173,-0.617352,-1.420777,-0.290033,1.43574,1.73812,1.040631,1.463166,0.007204,-1.374842,-1.123678,-0.768323,-0.302248,0.405549,0.712406,1990s,Action,0.0,0.539862725985021,0.0,0.0,0.3677900985753562,0.09234717543962268,1
tt2119532,Hacksaw Ridge,2016,Drama|History|War,1.569077,1.580703,-0.180882,-1.373988,-0.785068,-1.245667,-2.470171,-0.20486,1.563722,0.300896,0.423539,-0.157292,-0.184351,-0.18326,-0.762123,-0.050934,0.972115,0.387805,0.39014,0.410599,2010s,Drama,0.19625551176268527,0.1981067875212858,0.0,0.0,0.0,0.605637700716029,5
tt0475290,Hail Caesar,2016,Comedy|Crime|Drama|Mystery|History,0.272847,0.283952,-0.535391,0.278925,1.083427,1.068885,0.068037,0.283883,-0.539372,-2.204895,-0.448325,0.514505,0.265977,1.089814,1.895705,-1.33786,-1.246007,-0.530698,-1.346174,1.082765,2010s,Comedy,0.15801623459485095,0.0,0.0,0.46065687731585847,0.3813268880892905,0.0,3
tt0480687,Hall Pass,2011,Comedy|Romance,1.687062,0.478973,0.47974,1.082849,-0.144274,-0.129587,1.04025,0.471526,0.472602,-1.366982,-0.775641,-1.333681,-1.31389,-1.979686,-1.365393,0.034558,0.479268,0.480598,0.471523,1.230185,2010s,Comedy,0.0,0.05260809203055888,0.587553692572238,0.28677006549140444,0.0,0.07306814990579874,2
tt0077651,Halloween,2018,Horror|Thriller,0.241473,-1.390273,0.237295,0.239477,-1.354537,-0.568412,0.249018,0.887523,-1.362707,1.061621,1.861725,0.236218,-0.598307,-1.395359,-0.59163,0.23825,-0.549318,-0.565532,1.853597,1.269878,2010s,Horror,0.0,0.4418317320141697,0.15140217504151648,0.0,0.17820467051110905,0.22856142243320468,1
tt0095271,Halloween 4 The Return Of Michael Myers,1988,Horror|Thriller,0.383451,-0.98236,-2.565101,-1.123779,0.357759,0.43219,-1.063499,-1.056549,0.463878,1.192663,0.417983,-1.04114,0.521855,0.457704,1.182051,-0.367644,-0.232101,0.453287,1.205487,1.363865,1980s,Horror,0.1723281281686768,0.1285389124258379,0.13988379237240006,0.0,0.43480023363249265,0.12444893340059254,4
tt0097474,Halloween 5 The Revenge Of Michael Myers,1989,Horror|Thriller,1.723723,0.850127,-1.124068,-0.417264,-0.442251,-1.048921,-0.423892,1.697235,-0.413179,-1.56061,0.174342,0.982811,0.999948,0.376429,0.332695,0.289005,-0.441557,-1.744819,-0.9811,1.171346,1980s,Horror,0.38067647400549276,0.21583359614982234,0.0,0.0922322389533838,0.016825697498812797,0.2944319933924883,0
tt0120694,Halloween H20 20 Years Later,1998,Horror|Thriller,-0.458044,-0.238341,0.417499,1.478156,1.642927,0.36375,-0.241935,-0.878108,-2.139976,-2.142506,-0.260248,0.333684,0.34881,-0.229333,0.37915,-0.871691,-0.218577,0.293325,0.878535,1.542923,1990s,Horror,0.0,0.0,0.06205284017549741,0.44490610030714395,0.4930410595173587,0.0,4
