decade,Oedipus,Icarus,Man in a Hole,Tragedy,Rags to Riches,Cinderella
1980s,0.14230576266240513,0.16011228346221135,0.17701003236488166,0.17618598712637115,0.16852155477318537,0.17586437961094534
1990s,0.15133402231003387,0.17165857987007413,0.1859517463815553,0.15985841782035135,0.15271381181348895,0.1784834218044964
2000s,0.15217469757799532,0.15789481233880126,0.18982063967652713,0.1670298937460173,0.144231917987851,0.188848038672808
2010s,0.14670892894753532,0.18178418138813623,0.18575649308096773,0.15857338144225142,0.1489923978529149,0.17818461728819437
2020s,0.13790787552083428,0.1821523320683008,0.18166023681888055,0.18885216089626636,0.1374357536841478,0.17199164101157022
